ticker,name,sector,price,shares_outstanding,revenue,gross_profit,operating_income,net_income,operating_cash_flow,capital_expenditures,total_debt,cash,total_equity,total_assets,current_assets,current_liabilities,market_cap,free_cash_flow,gross_margin,operating_margin,net_margin,current_ratio,debt_to_equity,book_value_per_share,revenue_per_share,eps,fcf_per_share,pe_ratio,pb_ratio,ps_ratio,fcf_yield,enterprise_value,ev_to_ebit,ev_to_sales,ev_to_fcf,roe,roa
CTAS,Cintas Corporation,Industrials,174.339996,400031927,10340181000.000000,5174164000.000000,2359726000.000000,1812281000.000000,2165905000.000000,-408884000.000000,2654481000.000000,263973000.000000,4684481000.000000,9825241000.000000,3436169000.000000,1644502000.000000,69741564688.219330,1757021000.000000,0.500394,0.228209,0.175266,2.089489,0.566654,11.710268,25.848389,4.530341,4.392202,38.482754,14.887789,6.744714,0.025193,72132072688.219330,30.567987,6.975900,41.053620,0.386869,0.184452
CTSH,Cognizant Technology Solutions Corporation,Technology,62.540001,478246920,21108000000.000000,7117000000.000000,3327000000.000000,2230000000.000000,2883000000.000000,-288000000.000000,1152000000.000000,1901000000.000000,15015000000.000000,20692000000.000000,7818000000.000000,3659000000.000000,29909562814.648132,2595000000.000000,0.337171,0.157618,0.105647,2.136649,0.076723,31.395916,44.136196,4.662863,5.426067,13.412360,1.991979,1.416978,0.086762,29160562814.648132,8.764822,1.381493,11.237211,0.148518,0.107771
DASH,"DoorDash, Inc.",Consumer Cyclical,156.449997,409966858,13717000000.000000,6979000000.000000,725000000.000000,935000000.000000,2431000000.000000,-605000000.000000,3290000000.000000,4378000000.000000,10033000000.000000,19659000000.000000,8643000000.000000,6147000000.000000,64139313682.980438,1826000000.000000,0.508785,0.052854,0.068164,1.406052,0.327918,24.472710,33.458802,2.280672,4.454019,68.598196,6.392835,4.675900,0.028469,63051313682.980438,86.967329,4.596582,34.529745,0.093192,0.047561
DDOG,"Datadog, Inc.",Technology,120.360001,328483364,3427158000.000000,2740201000.000000,-44373000.000000,107741000.000000,1050135000.000000,-135418000.000000,1279005000.000000,401305000.000000,3732206000.000000,6643844000.000000,5382280000.000000,1591401000.000000,39536257891.530334,914717000.000000,0.799555,-0.012947,0.031437,3.382102,0.342694,11.361933,10.433277,0.327995,2.784668,366.956478,10.593268,11.536164,0.023136,40413957891.530334,-910.778128,11.792266,44.181925,0.028868,0.016217
DXCM,"DexCom, Inc.",Healthcare,62.220001,384864842,4662000000.000000,2801900000.000000,911800000.000000,836300000.000000,1440700000.000000,-363500000.000000,1389700000.000000,917700000.000000,2746000000.000000,6339900000.000000,4033300000.000000,2142500000.000000,23946290939.045715,1077200000.000000,0.601008,0.195581,0.179387,1.882520,0.506082,7.134972,12.113343,2.172971,2.798905,28.633613,8.720426,5.136485,0.044984,24418290939.045715,26.780315,5.237729,22.668298,0.304552,0.131911
EA,Electronic Arts Inc.,Communication Services,203.600006,250253713,7463000000.000000,5920000000.000000,1577000000.000000,1121000000.000000,2079000000.000000,-221000000.000000,1951000000.000000,2136000000.000000,6386000000.000000,12368000000.000000,3276000000.000000,3459000000.000000,50951657494.227448,1858000000.000000,0.793247,0.211309,0.150208,0.947095,0.305512,25.518103,29.821735,4.479454,7.424465,45.451969,7.978650,6.827235,0.036466,50766657494.227448,32.191920,6.802446,27.323282,0.175540,0.090637
EXC,Exelon Corporation,Utilities,49.330002,1023175091,24258000000.000000,10414000000.000000,5145000000.000000,2768000000.000000,6254000000.000000,-8529000000.000000,50080000000.000000,626000000.000000,28798000000.000000,116570000000.000000,9546000000.000000,10331000000.000000,50473229112.519547,-2275000000.000000,0.429302,0.212095,0.114107,0.924015,1.739010,28.145720,23.708552,2.705304,-2.223471,18.234548,1.752664,2.080684,-0.045073,99927229112.519547,19.422202,4.119352,-43.924057,0.096118,0.023745
FANG,"Diamondback Energy, Inc.",Energy,193.880005,281303905,14929000000.000000,5221000000.000000,4918000000.000000,1664000000.000000,8758000000.000000,-9461000000.000000,14879000000.000000,104000000.000000,36972000000.000000,71059000000.000000,1915000000.000000,4600000000.000000,54539202474.954224,-703000000.000000,0.349722,0.329426,0.111461,0.416304,0.402440,131.430810,53.070717,5.915311,-2.499077,32.775963,1.475149,3.653239,-0.012890,69314202474.954224,14.093982,4.642923,-98.597728,0.045007,0.023417
FAST,Fastenal Company,Industrials,46.299999,1148328513,8200500000.000000,3691200000.000000,1655700000.000000,1258400000.000000,1295900000.000000,-245300000.000000,441900000.000000,276800000.000000,3943600000.000000,5052900000.000000,3472100000.000000,715600000.000000,53167609275.794876,1050600000.000000,0.450119,0.201902,0.153454,4.852012,0.112055,3.434209,7.141249,1.095854,0.914895,42.250166,13.481998,6.483459,0.019760,53332709275.794876,32.211578,6.503592,50.764048,0.319099,0.249045
FER,Ferrovial SE,Industrials,66.470001,717965287,9627000000.000000,8503000000.000000,967000000.000000,888000000.000000,1926000000.000000,-187000000.000000,10732000000.000000,4242000000.000000,5908000000.000000,27420000000.000000,7310000000.000000,6464000000.000000,47723153503.312469,1739000000.000000,0.883245,0.100447,0.092241,1.130879,1.816520,8.228810,13.408726,1.236829,2.422123,53.742290,8.077717,4.957220,0.036439,54213153503.312469,56.063240,5.631365,31.174901,0.150305,0.032385
FTNT,"Fortinet, Inc.",Technology,82.529999,739923583,6799600000.000000,5470700000.000000,2084700000.000000,1853400000.000000,2590600000.000000,-364800000.000000,996300000.000000,2495300000.000000,1237500000.000000,10389200000.000000,5900200000.000000,5034000000.000000,61065892401.762970,2225800000.000000,0.804562,0.306592,0.272575,1.172070,0.805091,1.672470,9.189598,2.504853,3.008148,32.948037,49.346176,8.980807,0.036449,59566892401.762970,28.573364,8.760352,26.762015,1.497697,0.178397
GEHC,GE HealthCare Technologies Inc.,Healthcare,70.349998,456290143,20625000000.000000,8247000000.000000,2762000000.000000,2084000000.000000,1987000000.000000,-482000000.000000,10463000000.000000,4492000000.000000,10379000000.000000,36906000000.000000,12501000000.000000,9105000000.000000,32100010863.806496,1505000000.000000,0.399855,0.133915,0.101042,1.372982,1.008093,22.746492,45.201502,4.567269,3.298340,15.403076,3.092785,1.556364,0.046885,38071010863.806496,13.783856,1.845867,25.296353,0.200790,0.056468
